"Lon","Lat","NAMES","DATE","TYPE"
-85.76891,30.7599,"February 2003",2003-02-18 06:00:00,"Class_A"
-82.52655,28.5716,"Late 80's",2004-02-17 06:00:00,"Class_A"
-81.3065,25.8972,"August 1979",1979-08-01 07:00:00,"Class_A"
-80.8044,27.3973,"January 2004",2004-01-18 06:00:00,"Class_A"
-81.80005,29.98085,"April 1994",2004-03-18 06:00:00,"Class_A"
-81.4189,30.4544,"1994",1994-03-01 06:00:00,"Class_A"
-86.6913,30.56775,"June 2000",2000-06-01 06:00:00,"Class_A"
-85.6316,30.4664,"August 2004",2004-08-08 06:00:00,"Class_A"
-81.9055,29.07655,"September 2004",2004-12-03 06:00:00,"Class_A"
-85.95136,30.9854,"Late 1980s",1988-12-01 06:00:00,"Class_A"
-82.929,29.591,"November 1998",1998-11-01 06:00:00,"Class_A"
-82.46557,27.28518,"August 1981",1981-08-07 06:00:00,"Class_A"
-80.60976,26.61979,"1982 or 1983",1982-02-01 06:00:00,"Class_A"
-81.93871,28.00845,"September 1974",1974-09-01 07:00:00,"Class_A"
-82.454,27.099,"1988",1988-08-01 06:00:00,"Class_A"
-81.9742,27.89469,"October 2004-2005",2004-10-12 06:00:00,"Class_A"
-82.42,29.098,"January 2000",2000-01-01 06:00:00,"Class_A"
-82.438,28.043,"1955",1955-01-01 06:00:00,"Class_A"
-84.583,30.587,"September 2005",2005-09-18 06:00:00,"Class_A"
-81.33,25.927,"June 2005",2005-06-02 06:00:00,"Class_A"
-81.35876,27.37341,"March 2006",2006-03-04 06:00:00,"Class_A"
-81.6965,28.775,"December 1985",1985-11-01 06:00:00,"Class_A"
-81.771,30.069,"July 2003",2003-07-01 06:00:00,"Class_A"
-82.6505,29.191,"October 2000/2001",2000-10-01 06:00:00,"Class_A"
-80.926,25.141,"March 2006",2006-03-01 06:00:00,"Class_A"
-82.44749,28.252,"July 2006",2006-07-27 06:00:00,"Class_A"
-81.22285,26.0079,"2001",2001-10-15 06:00:00,"Class_A"
-82.879,30.3125,"November 2006",2006-11-01 06:00:00,"Class_A"
